primaryTitle|runtimeMinutes|genres|overview|release_date|tagline|averageRating|numVotes
Guardians of the Galaxy Vol. 2|136|Action,Adventure,Comedy|guardian struggle keep together team dealing personal family issue notably star lord encounter father ambitious celestial ego|May 5, 2017|summer galaxy save|7.6|678000
Shang-Chi and the Legend of the Ten Rings|132|Action,Adventure,Fantasy|shang chi master weaponry based kung fu forced confront past drawn ten ring organization|September 3, 2021|marvel legend rise|7.4|378000
Captain America: The First Avenger|124|Action,Adventure,Sci-Fi|steve rogers rejected military soldier transforms captain america taking dose super soldier serum captain america come price attempt take warmonger terrorist organization|July 22, 2011|patriot become hero|6.9|843000
Thor: Ragnarok|130|Action,Adventure,Comedy|imprisoned planet sakaar thor must race time return asgard stop ragnar k destruction world hand powerful ruthless villain hela|November 3, 2017|hammer problem|7.9|748000
Captain America: Civil War|147|Action,Adventure,Sci-Fi|political involvement avenger affair cause rift captain america iron man|May 6, 2016|divided fall|7.8|784000
Thor|115|Action,Adventure,Fantasy|powerful arrogant god thor cast asgard live amongst human midgard earth soon becomes one finest defender|May 6, 2011|two world one hero|7.0|848000
Spider-Man 3|139|Action,Adventure,Sci-Fi|strange black entity another world bond peter parker cause inner turmoil contends new villain temptation revenge|May 4, 2007|next summer greatest battle lie within|6.3|590000
Captain Marvel|123|Action,Adventure,Sci-Fi|carol danvers becomes one universe powerful hero earth caught middle galactic war two alien race|March 8, 2019|discover make|6.8|558000
Spider-Man: Homecoming|133|Action,Adventure,Sci-Fi|peter parker balance life ordinary high school student queen superhero alter ego spider man find trail new menace prowling sky new york city|July 7, 2017|homework wait city|7.4|654000
Avengers: Age of Ultron|141|Action,Adventure,Sci-Fi|tony stark bruce banner try jump start dormant peacekeeping program called ultron thing go horribly wrong earth mightiest hero stop villainous ultron enacting terrible plan|May 1, 2015|new age begin|7.3|860000
Hawkeye|339|Action,Adventure,Crime|series based marvel comic superhero hawkeye centering adventure young avenger kate bishop took role original avenger clint barton|November 24, 2021|holiday season best gift come bow|7.5|180000
Doctor Strange|115|Action,Adventure,Fantasy|journey physical spiritual healing brilliant neurosurgeon drawn world mystic art|November 4, 2016|open mind change reality|7.5|740000
Ms. Marvel|271|Action,Adventure,Comedy|kamala superhero fan imagination particularly come captain marvel kamala feel like fit school sometimes even home get superpower like hero looked|June 8, 2022||6.2|101000
Iron Man 2|124|Action,Adventure,Sci-Fi|world aware identity iron man tony stark must contend declining health vengeful mad man tie father legacy|May 7, 2010|armor make hero man inside|6.9|815000
What If...?|32|Animation,Action,Adventure|exploring pivotal moment marvel cinematic universe turning head leading audience uncharted territory|August 11, 2021|enter multiverse infinite possibility|7.4|114000
Ant-Man|117|Action,Adventure,Comedy|armed super suit astonishing ability shrink scale increase strength cat burglar scott lang must embrace inner hero help mentor dr hank pym pull plan save world|July 17, 2015|hero get bigger|7.3|665000
Spider-Man: Far from Home|129|Action,Adventure,Sci-Fi|following event avenger endgame 2019 spider man must step take new threat world changed forever|July 2, 2019||7.4|489000
Captain America: The Winter Soldier|136|Action,Adventure,Sci-Fi|steve rogers struggle embrace role modern world team fellow avenger h e l agent black widow battle new threat history assassin known winter soldier|April 4, 2014|hero trust|7.8|843000
The Incredible Hulk|112|Action,Adventure,Sci-Fi|bruce banner scientist run u government must find cure monster turn whenever loses temper|June 13, 2008|june 13 get ready unleash beast|6.6|493000
Iron Man 3|130|Action,Adventure,Sci-Fi|tony stark world torn apart formidable terrorist called mandarin start odyssey rebuilding retribution|May 3, 2013|prepare heavy metal|7.1|848000
The Falcon and the Winter Soldier|50|Action,Adventure,Drama|following event avenger endgame sam wilson falcon bucky barnes winter soldier team global adventure test ability patience|March 19, 2021||7.2|219000
